NCTNumber,StudyResults,Sex,Age,Phases,Enrollment,FunderType,StudyType
NCT04771910,NO,ALL,"CHILD, ADULT, OLDER_ADULT",NA,40,OTHER,INTERVENTIONAL
NCT04643457,NO,ALL,"ADULT, OLDER_ADULT",PHASE1,107,INDUSTRY,INTERVENTIONAL
NCT05608343,NO,ALL,"CHILD, ADULT, OLDER_ADULT",PHASE3,153,INDUSTRY,INTERVENTIONAL
NCT02925117,YES,ALL,"ADULT, OLDER_ADULT",PHASE2,167,INDUSTRY,INTERVENTIONAL
NCT03568318,YES,ALL,"CHILD, ADULT, OLDER_ADULT",PHASE3,1500,INDUSTRY,INTERVENTIONAL
NCT04504279,NO,ALL,"CHILD, ADULT, OLDER_ADULT",PHASE2,154,INDUSTRY,INTERVENTIONAL
NCT04214197,NO,ALL,"CHILD, ADULT, OLDER_ADULT",PHASE4,150,OTHER,INTERVENTIONAL
NCT02226068,NO,ALL,ADULT,NA,20,OTHER,INTERVENTIONAL
NCT03614221,NO,ALL,"CHILD, ADULT, OLDER_ADULT",PHASE2,22,OTHER,INTERVENTIONAL
NCT06277765,NO,ALL,"CHILD, ADULT",PHASE3,180,INDUSTRY,INTERVENTIONAL
NCT05114889,NO,ALL,ADULT,PHASE1,54,INDUSTRY,INTERVENTIONAL
NCT03738397,YES,ALL,"ADULT, OLDER_ADULT",PHASE3,673,INDUSTRY,INTERVENTIONAL
NCT04553224,NO,ALL,ADULT,NA,17,INDUSTRY,INTERVENTIONAL
NCT05443490,NO,ALL,CHILD,NA,150,NETWORK,INTERVENTIONAL
NCT04276623,NO,ALL,"ADULT, OLDER_ADULT",NA,150,OTHER,OBSERVATIONAL
NCT05571943,NO,ALL,"CHILD, ADULT, OLDER_ADULT",PHASE3,542,INDUSTRY,INTERVENTIONAL
NCT03428646,NO,ALL,"CHILD, ADULT, OLDER_ADULT",NA,858,INDUSTRY,OBSERVATIONAL
NCT03334422,YES,ALL,"ADULT, OLDER_ADULT",PHASE3,615,INDUSTRY,INTERVENTIONAL
NCT06461897,NO,ALL,CHILD,PHASE3,675,INDUSTRY,INTERVENTIONAL
NCT05388760,NO,ALL,CHILD,PHASE2,24,INDUSTRY,INTERVENTIONAL
NCT04900948,NO,ALL,CHILD,PHASE4,108,OTHER_GOV,INTERVENTIONAL
NCT05369403,NO,ALL,"CHILD, ADULT, OLDER_ADULT",PHASE3,120,INDUSTRY,INTERVENTIONAL
NCT04976868,NO,ALL,"CHILD, ADULT, OLDER_ADULT",NA,130,INDUSTRY,OBSERVATIONAL
NCT01461941,NO,ALL,ADULT,PHASE2,78,INDUSTRY,INTERVENTIONAL
NCT03948334,YES,ALL,"ADULT, OLDER_ADULT",PHASE2,123,INDUSTRY,INTERVENTIONAL
NCT01996423,NO,ALL,CHILD,NA,101,OTHER,INTERVENTIONAL
NCT04615962,NO,ALL,"CHILD, ADULT, OLDER_ADULT",PHASE1,66,INDUSTRY,INTERVENTIONAL
NCT04936113,NO,ALL,"CHILD, ADULT, OLDER_ADULT",PHASE2,36,INDUSTRY,INTERVENTIONAL
NCT04678882,NO,ALL,CHILD,PHASE3,62,INDUSTRY,INTERVENTIONAL
NCT05923099,NO,ALL,"ADULT, OLDER_ADULT",PHASE2,262,INDUSTRY,INTERVENTIONAL
NCT03517566,YES,ALL,"ADULT, OLDER_ADULT",PHASE2,293,INDUSTRY,INTERVENTIONAL
NCT04140695,YES,ALL,"ADULT, OLDER_ADULT",PHASE3,87,INDUSTRY,INTERVENTIONAL
NCT05432596,NO,ALL,"CHILD, ADULT, OLDER_ADULT",PHASE2,250,INDUSTRY,INTERVENTIONAL
NCT03622463,NO,ALL,"ADULT, OLDER_ADULT",PHASE2,14,INDUSTRY,INTERVENTIONAL
NCT06162507,NO,ALL,CHILD,"PHASE1,PHASE2",24,INDUSTRY,INTERVENTIONAL
NCT03575871,YES,ALL,"CHILD, ADULT, OLDER_ADULT",PHASE3,391,INDUSTRY,INTERVENTIONAL
NCT03435081,YES,ALL,"ADULT, OLDER_ADULT",PHASE3,440,INDUSTRY,INTERVENTIONAL
NCT03334396,YES,ALL,"ADULT, OLDER_ADULT",PHASE3,660,INDUSTRY,INTERVENTIONAL
NCT02716181,NO,ALL,CHILD,NA,74,INDUSTRY,INTERVENTIONAL
NCT04297215,NO,ALL,"CHILD, ADULT, OLDER_ADULT",NA,165,OTHER,INTERVENTIONAL
NCT03688464,NO,ALL,CHILD,EARLY_PHASE1,0,OTHER,INTERVENTIONAL
NCT01806662,YES,ALL,"ADULT, OLDER_ADULT",PHASE2,32,OTHER,INTERVENTIONAL
NCT05387980,NO,ALL,"CHILD, ADULT, OLDER_ADULT",NA,1200,INDUSTRY,OBSERVATIONAL
NCT03233529,YES,ALL,"ADULT, OLDER_ADULT",PHASE2,40,INDUSTRY,INTERVENTIONAL
NCT01695707,NO,ALL,ADULT,NA,0,OTHER,INTERVENTIONAL
NCT04922021,YES,ALL,ADULT,PHASE2,58,INDUSTRY,INTERVENTIONAL
NCT02888704,NO,ALL,"ADULT, OLDER_ADULT",PHASE1,13,INDUSTRY,INTERVENTIONAL
NCT03055195,YES,ALL,"ADULT, OLDER_ADULT",PHASE2,34,INDUSTRY,INTERVENTIONAL
NCT03661138,NO,ALL,"CHILD, ADULT, OLDER_ADULT",PHASE3,272,INDUSTRY,INTERVENTIONAL
NCT04530643,NO,ALL,"ADULT, OLDER_ADULT",PHASE2,80,INDUSTRY,INTERVENTIONAL
NCT05140239,NO,ALL,"ADULT, OLDER_ADULT",NA,20,OTHER,OBSERVATIONAL
NCT05078294,NO,ALL,"ADULT, OLDER_ADULT",NA,300,OTHER,OBSERVATIONAL
NCT04352595,NO,ALL,"ADULT, OLDER_ADULT",PHASE2,148,INDUSTRY,INTERVENTIONAL
NCT05527964,NO,ALL,"ADULT, OLDER_ADULT",NA,150,INDUSTRY,OBSERVATIONAL
NCT05194540,YES,ALL,"CHILD, ADULT, OLDER_ADULT",PHASE3,136,INDUSTRY,INTERVENTIONAL
NCT03903822,YES,ALL,"CHILD, ADULT, OLDER_ADULT",PHASE2,292,INDUSTRY,INTERVENTIONAL
NCT02289989,YES,ALL,CHILD,NA,1,OTHER,INTERVENTIONAL
NCT04413942,NO,ALL,"ADULT, OLDER_ADULT",PHASE2,99,INDUSTRY,INTERVENTIONAL
NCT02840955,NO,ALL,"ADULT, OLDER_ADULT",NA,100,OTHER,INTERVENTIONAL
NCT01179880,NO,MALE,"ADULT, OLDER_ADULT","PHASE1,PHASE2",40,INDUSTRY,INTERVENTIONAL
NCT03553615,NO,ALL,"ADULT, OLDER_ADULT",PHASE2,0,OTHER,INTERVENTIONAL
NCT01307150,NO,ALL,"ADULT, OLDER_ADULT",NA,50,OTHER,OBSERVATIONAL
NCT04598269,YES,ALL,"ADULT, OLDER_ADULT",PHASE2,50,INDUSTRY,INTERVENTIONAL
NCT03183440,NO,FEMALE,"ADULT, OLDER_ADULT",NA,376,OTHER,INTERVENTIONAL
NCT04927572,NO,ALL,"ADULT, OLDER_ADULT","PHASE1,PHASE2",21,INDUSTRY,INTERVENTIONAL
NCT02564055,YES,ALL,"CHILD, ADULT, OLDER_ADULT",PHASE2,247,INDUSTRY,INTERVENTIONAL
NCT04839380,YES,ALL,"ADULT, OLDER_ADULT",PHASE2,49,INDUSTRY,INTERVENTIONAL
NCT05277571,NO,ALL,"ADULT, OLDER_ADULT","PHASE1,PHASE2",152,INDUSTRY,INTERVENTIONAL
NCT01689805,NO,ALL,"ADULT, OLDER_ADULT",NA,800,OTHER,OBSERVATIONAL
NCT03733301,YES,ALL,"ADULT, OLDER_ADULT",PHASE3,329,INDUSTRY,INTERVENTIONAL
NCT05372419,NO,ALL,"CHILD, ADULT, OLDER_ADULT",PHASE3,80,INDUSTRY,INTERVENTIONAL
NCT02153762,NO,ALL,"CHILD, ADULT, OLDER_ADULT",NA,41,OTHER,INTERVENTIONAL
NCT05790330,NO,ALL,"CHILD, ADULT",NA,90,OTHER,OBSERVATIONAL
NCT00515047,NO,ALL,"CHILD, ADULT, OLDER_ADULT",NA,900,NIH,OBSERVATIONAL
NCT05018806,NO,ALL,"ADULT, OLDER_ADULT",PHASE2,124,INDUSTRY,INTERVENTIONAL
NCT01652885,YES,ALL,CHILD,"PHASE1,PHASE2",23,INDUSTRY,INTERVENTIONAL
NCT03961529,YES,ALL,"CHILD, ADULT, OLDER_ADULT",PHASE3,366,INDUSTRY,INTERVENTIONAL
NCT06324812,NO,ALL,"CHILD, ADULT","PHASE1,PHASE2",104,INDUSTRY,INTERVENTIONAL
NCT03562377,YES,ALL,ADULT,PHASE2,215,INDUSTRY,INTERVENTIONAL
NCT02302625,NO,ALL,"ADULT, OLDER_ADULT",NA,9,OTHER,INTERVENTIONAL
NCT02376049,NO,ALL,"ADULT, OLDER_ADULT",PHASE1,30,INDUSTRY,INTERVENTIONAL
NCT04419584,NO,ALL,CHILD,"PHASE2,PHASE3",64,OTHER,INTERVENTIONAL
NCT01996150,NO,ALL,"ADULT, OLDER_ADULT",NA,58,OTHER,INTERVENTIONAL
NCT03051958,NO,ALL,ADULT,NA,102,OTHER,INTERVENTIONAL
NCT05117060,YES,ALL,"ADULT, OLDER_ADULT",PHASE2,216,INDUSTRY,INTERVENTIONAL
NCT05656911,NO,ALL,"ADULT, OLDER_ADULT",PHASE2,77,INDUSTRY,INTERVENTIONAL
NCT05062213,NO,ALL,"ADULT, OLDER_ADULT",NA,34,INDUSTRY,INTERVENTIONAL
NCT04539639,NO,ALL,"ADULT, OLDER_ADULT",PHASE2,166,INDUSTRY,INTERVENTIONAL
NCT06313333,NO,ALL,"ADULT, OLDER_ADULT",NA,1500,OTHER,OBSERVATIONAL
NCT04728269,NO,ALL,"ADULT, OLDER_ADULT",NA,10,INDUSTRY,INTERVENTIONAL
NCT04626297,YES,ALL,ADULT,PHASE3,254,INDUSTRY,INTERVENTIONAL
NCT02324972,YES,ALL,"ADULT, OLDER_ADULT",PHASE2,54,INDUSTRY,INTERVENTIONAL
NCT00879424,NO,ALL,CHILD,NA,107,OTHER,INTERVENTIONAL
NCT03376243,NO,ALL,CHILD,NA,50,OTHER,INTERVENTIONAL
NCT02369432,NO,ALL,"ADULT, OLDER_ADULT",EARLY_PHASE1,21,OTHER,INTERVENTIONAL
NCT02680405,NO,ALL,"ADULT, OLDER_ADULT",NA,50,OTHER,OBSERVATIONAL
NCT00277433,NO,ALL,CHILD,NA,751,OTHER,OBSERVATIONAL
NCT02576938,YES,ALL,"ADULT, OLDER_ADULT",PHASE2,124,INDUSTRY,INTERVENTIONAL
NCT03568331,YES,ALL,"ADULT, OLDER_ADULT",PHASE3,375,INDUSTRY,INTERVENTIONAL
NCT03250624,YES,ALL,ADULT,PHASE2,63,INDUSTRY,INTERVENTIONAL
NCT05544591,NO,ALL,"ADULT, OLDER_ADULT",PHASE2,93,INDUSTRY,INTERVENTIONAL
NCT05641558,NO,ALL,"ADULT, OLDER_ADULT","PHASE1,PHASE2",24,INDUSTRY,INTERVENTIONAL
NCT01074164,YES,ALL,"ADULT, OLDER_ADULT",NA,15,OTHER,INTERVENTIONAL
NCT01779258,NO,ALL,CHILD,PHASE3,347,INDUSTRY,INTERVENTIONAL
NCT01856764,YES,ALL,"ADULT, OLDER_ADULT",PHASE2,40,INDUSTRY,INTERVENTIONAL
NCT04992546,YES,ALL,"ADULT, OLDER_ADULT",PHASE2,39,INDUSTRY,INTERVENTIONAL
NCT03585296,YES,ALL,"ADULT, OLDER_ADULT",PHASE2,22,INDUSTRY,INTERVENTIONAL
NCT03269773,NO,ALL,"ADULT, OLDER_ADULT",PHASE3,197,INDUSTRY,INTERVENTIONAL
NCT04737304,NO,ALL,"ADULT, OLDER_ADULT","PHASE1,PHASE2",123,INDUSTRY,INTERVENTIONAL
NCT02178215,NO,ALL,"ADULT, OLDER_ADULT",PHASE3,30,OTHER,INTERVENTIONAL
NCT05579925,NO,ALL,"CHILD, ADULT",PHASE2,24,INDUSTRY,INTERVENTIONAL
NCT04162899,YES,ALL,"ADULT, OLDER_ADULT",PHASE2,105,INDUSTRY,INTERVENTIONAL
NCT04875169,NO,ALL,"CHILD, ADULT, OLDER_ADULT",PHASE3,336,INDUSTRY,INTERVENTIONAL
NCT02950922,NO,ALL,"CHILD, ADULT, OLDER_ADULT",PHASE2,157,INDUSTRY,INTERVENTIONAL
NCT04717310,NO,ALL,"ADULT, OLDER_ADULT","PHASE2,PHASE3",645,INDUSTRY,INTERVENTIONAL
NCT01638234,NO,ALL,"CHILD, ADULT","PHASE2,PHASE3",48,OTHER,INTERVENTIONAL
NCT03847389,YES,ALL,"CHILD, ADULT","PHASE1,PHASE2",8,INDUSTRY,INTERVENTIONAL
NCT06415175,NO,ALL,CHILD,NA,150,INDUSTRY,OBSERVATIONAL
NCT04562116,NO,ALL,"ADULT, OLDER_ADULT",PHASE2,16,INDUSTRY,INTERVENTIONAL
NCT03981926,NO,ALL,"CHILD, ADULT, OLDER_ADULT",NA,300,OTHER,INTERVENTIONAL
NCT05450198,NO,ALL,"ADULT, OLDER_ADULT",PHASE1,72,INDUSTRY,INTERVENTIONAL
NCT03846466,NO,ALL,"ADULT, OLDER_ADULT",PHASE1,5,INDUSTRY,INTERVENTIONAL
NCT04313400,NO,ALL,"ADULT, OLDER_ADULT","PHASE1,PHASE2",91,INDUSTRY,INTERVENTIONAL
NCT03962387,NO,ALL,"ADULT, OLDER_ADULT",NA,98,INDUSTRY,OBSERVATIONAL
NCT03011892,YES,ALL,"ADULT, OLDER_ADULT",PHASE2,307,INDUSTRY,INTERVENTIONAL
NCT03422822,NO,ALL,"CHILD, ADULT, OLDER_ADULT",PHASE3,3172,INDUSTRY,INTERVENTIONAL
NCT01660217,NO,ALL,"CHILD, ADULT, OLDER_ADULT",NA,37,OTHER,INTERVENTIONAL
NCT04587453,YES,ALL,"ADULT, OLDER_ADULT",PHASE3,106,INDUSTRY,INTERVENTIONAL
NCT01692093,NO,ALL,"ADULT, OLDER_ADULT",PHASE2,66,OTHER,INTERVENTIONAL
NCT01941537,YES,ALL,"ADULT, OLDER_ADULT",PHASE2,60,OTHER,INTERVENTIONAL
NCT06015308,NO,ALL,"ADULT, OLDER_ADULT",PHASE2,166,INDUSTRY,INTERVENTIONAL
NCT03375970,NO,ALL,"CHILD, ADULT",NA,30,OTHER,INTERVENTIONAL
NCT03912259,YES,ALL,"ADULT, OLDER_ADULT",PHASE3,165,INDUSTRY,INTERVENTIONAL
NCT03351777,NO,ALL,"ADULT, OLDER_ADULT",PHASE2,120,INDUSTRY,INTERVENTIONAL
NCT02780167,YES,ALL,"ADULT, OLDER_ADULT",PHASE2,269,INDUSTRY,INTERVENTIONAL
NCT01138761,NO,ALL,CHILD,NA,33,OTHER,INTERVENTIONAL
NCT02028546,NO,ALL,ADULT,NA,22,OTHER,INTERVENTIONAL
NCT00903357,YES,ALL,CHILD,NA,54,OTHER,INTERVENTIONAL
NCT05006300,NO,ALL,CHILD,NA,0,INDUSTRY,INTERVENTIONAL
NCT03018275,NO,ALL,"CHILD, ADULT, OLDER_ADULT","PHASE1,PHASE2",31,NIH,INTERVENTIONAL
NCT01174511,NO,ALL,"ADULT, OLDER_ADULT","PHASE1,PHASE2",30,OTHER,INTERVENTIONAL
NCT03142139,NO,ALL,CHILD,NA,1027559,OTHER,OBSERVATIONAL
NCT03758716,YES,ALL,"ADULT, OLDER_ADULT",PHASE2,12,INDUSTRY,INTERVENTIONAL
NCT04823130,YES,ALL,"ADULT, OLDER_ADULT",PHASE4,54,INDUSTRY,INTERVENTIONAL
NCT04271514,NO,ALL,"ADULT, OLDER_ADULT",PHASE1,103,INDUSTRY,INTERVENTIONAL
NCT04365387,NO,ALL,"CHILD, ADULT",PHASE2,225,INDUSTRY,INTERVENTIONAL
NCT04753034,YES,ALL,"CHILD, ADULT, OLDER_ADULT",PHASE2,63,INDUSTRY,INTERVENTIONAL
NCT00378300,NO,ALL,CHILD,NA,0,OTHER,INTERVENTIONAL
NCT01007331,NO,ALL,CHILD,NA,62,OTHER,INTERVENTIONAL
NCT01597817,NO,ALL,"CHILD, ADULT, OLDER_ADULT",PHASE2,78,OTHER,INTERVENTIONAL
NCT04369846,NO,ALL,"ADULT, OLDER_ADULT","PHASE1,PHASE2",102,INDUSTRY,INTERVENTIONAL
NCT03157284,NO,ALL,CHILD,NA,58,INDUSTRY,INTERVENTIONAL
NCT03911401,YES,ALL,CHILD,PHASE3,251,INDUSTRY,INTERVENTIONAL
NCT01945086,YES,ALL,"ADULT, OLDER_ADULT",PHASE2,79,INDUSTRY,INTERVENTIONAL
NCT03823794,NO,ALL,"CHILD, ADULT, OLDER_ADULT",NA,411931,INDUSTRY,OBSERVATIONAL
NCT04950374,NO,ALL,ADULT,NA,0,INDUSTRY,INTERVENTIONAL
NCT05983068,NO,ALL,CHILD,PHASE4,48,INDUSTRY,INTERVENTIONAL
NCT04325451,NO,ALL,CHILD,NA,252,INDUSTRY,OBSERVATIONAL
NCT06173284,NO,ALL,"ADULT, OLDER_ADULT",PHASE3,510,INDUSTRY,INTERVENTIONAL
NCT03645057,YES,ALL,CHILD,PHASE3,92,OTHER,INTERVENTIONAL
NCT03824405,YES,ALL,"CHILD, ADULT, OLDER_ADULT",PHASE2,200,INDUSTRY,INTERVENTIONAL
NCT03992417,NO,ALL,"CHILD, ADULT, OLDER_ADULT",NA,955,INDUSTRY,OBSERVATIONAL
NCT04498403,YES,ALL,"CHILD, ADULT, OLDER_ADULT",PHASE3,40,INDUSTRY,INTERVENTIONAL
NCT03394677,NO,ALL,CHILD,PHASE2,110,INDUSTRY,INTERVENTIONAL
NCT03160885,YES,ALL,"ADULT, OLDER_ADULT",PHASE3,794,INDUSTRY,INTERVENTIONAL
NCT03461302,NO,ALL,CHILD,PHASE4,80,OTHER,INTERVENTIONAL
NCT02193230,NO,ALL,CHILD,NA,24,OTHER,OBSERVATIONAL
NCT00226057,NO,ALL,"ADULT, OLDER_ADULT",PHASE1,10,OTHER,INTERVENTIONAL
NCT00753805,NO,ALL,ADULT,NA,23,OTHER,INTERVENTIONAL
NCT03415282,NO,ALL,CHILD,PHASE1,24,INDUSTRY,INTERVENTIONAL
NCT03131648,YES,ALL,"ADULT, OLDER_ADULT",PHASE3,802,INDUSTRY,INTERVENTIONAL
NCT00173498,NO,ALL,"CHILD, ADULT",NA,60,OTHER,OBSERVATIONAL
NCT03402412,NO,ALL,"ADULT, OLDER_ADULT",NA,16,OTHER,INTERVENTIONAL
NCT01497119,NO,ALL,"ADULT, OLDER_ADULT",PHASE2,88,INDUSTRY,INTERVENTIONAL
NCT03496974,YES,ALL,"ADULT, OLDER_ADULT",PHASE2,38,INDUSTRY,INTERVENTIONAL
NCT04256174,NO,ALL,"ADULT, OLDER_ADULT",PHASE1,80,INDUSTRY,INTERVENTIONAL
NCT04137562,NO,ALL,"ADULT, OLDER_ADULT",PHASE2,118,INDUSTRY,INTERVENTIONAL
NCT01602341,YES,ALL,CHILD,PHASE2,86,INDUSTRY,INTERVENTIONAL
NCT04360187,YES,ALL,"CHILD, ADULT, OLDER_ADULT",PHASE3,391,INDUSTRY,INTERVENTIONAL
NCT04490109,NO,ALL,"ADULT, OLDER_ADULT",PHASE2,547,INDUSTRY,INTERVENTIONAL
NCT01756898,YES,ALL,"ADULT, OLDER_ADULT",PHASE2,370,INDUSTRY,INTERVENTIONAL
NCT03443024,YES,ALL,"ADULT, OLDER_ADULT",PHASE2,280,INDUSTRY,INTERVENTIONAL
NCT04635072,NO,ALL,"CHILD, ADULT",EARLY_PHASE1,75,OTHER,INTERVENTIONAL
NCT02068352,YES,ALL,"CHILD, ADULT, OLDER_ADULT",PHASE2,121,INDUSTRY,INTERVENTIONAL
NCT02118792,YES,ALL,"CHILD, ADULT, OLDER_ADULT",PHASE3,764,INDUSTRY,INTERVENTIONAL
NCT02118766,YES,ALL,"CHILD, ADULT, OLDER_ADULT",PHASE3,763,INDUSTRY,INTERVENTIONAL
NCT03808532,NO,ALL,CHILD,PHASE2,0,INDUSTRY,INTERVENTIONAL
NCT04086121,YES,ALL,"ADULT, OLDER_ADULT",PHASE2,14,INDUSTRY,INTERVENTIONAL
NCT03817190,YES,ALL,"ADULT, OLDER_ADULT",PHASE2,219,INDUSTRY,INTERVENTIONAL
NCT03091426,NO,ALL,"ADULT, OLDER_ADULT",PHASE2,80,INDUSTRY,INTERVENTIONAL
NCT03916081,YES,ALL,"CHILD, ADULT, OLDER_ADULT",PHASE2,136,INDUSTRY,INTERVENTIONAL
NCT03526861,YES,ALL,CHILD,PHASE3,301,INDUSTRY,INTERVENTIONAL
NCT01675232,NO,ALL,"CHILD, ADULT",NA,45,OTHER,INTERVENTIONAL
NCT03822832,YES,ALL,"ADULT, OLDER_ADULT",PHASE2,51,INDUSTRY,INTERVENTIONAL
NCT02677636,NO,ALL,"CHILD, ADULT, OLDER_ADULT",PHASE3,0,INDUSTRY,INTERVENTIONAL
NCT02677610,NO,ALL,"CHILD, ADULT, OLDER_ADULT",PHASE3,0,INDUSTRY,INTERVENTIONAL
NCT05492578,NO,ALL,"CHILD, ADULT, OLDER_ADULT",PHASE2,1310,INDUSTRY,INTERVENTIONAL
NCT03654755,YES,ALL,"ADULT, OLDER_ADULT",PHASE2,162,INDUSTRY,INTERVENTIONAL
NCT04087863,NO,ALL,"CHILD, ADULT, OLDER_ADULT",NA,99,INDUSTRY,OBSERVATIONAL
NCT03684343,NO,ALL,CHILD,NA,48,OTHER,INTERVENTIONAL
NCT02401178,NO,ALL,CHILD,NA,400,OTHER,OBSERVATIONAL
NCT00820820,NO,ALL,"ADULT, OLDER_ADULT",NA,20,OTHER_GOV,INTERVENTIONAL
NCT01552629,NO,ALL,"ADULT, OLDER_ADULT",PHASE2,22,INDUSTRY,INTERVENTIONAL
NCT03703102,YES,ALL,"ADULT, OLDER_ADULT",PHASE2,274,INDUSTRY,INTERVENTIONAL
NCT03531957,YES,ALL,"ADULT, OLDER_ADULT",PHASE2,244,INDUSTRY,INTERVENTIONAL
NCT05769777,NO,ALL,"CHILD, ADULT, OLDER_ADULT",PHASE2,901,INDUSTRY,INTERVENTIONAL
NCT02582788,NO,ALL,CHILD,NA,10,OTHER,INTERVENTIONAL
NCT03722706,NO,ALL,CHILD,NA,246,OTHER,INTERVENTIONAL
NCT03252340,NO,ALL,"ADULT, OLDER_ADULT",NA,11,INDUSTRY,OBSERVATIONAL
NCT04544943,NO,ALL,"ADULT, OLDER_ADULT",PHASE1,31,OTHER,INTERVENTIONAL
NCT03100344,YES,ALL,"ADULT, OLDER_ADULT",PHASE2,226,INDUSTRY,INTERVENTIONAL
NCT01948869,NO,ALL,ADULT,NA,35,INDUSTRY,INTERVENTIONAL
NCT03761537,YES,ALL,"ADULT, OLDER_ADULT",PHASE3,277,INDUSTRY,INTERVENTIONAL
NCT03822624,NO,ALL,CHILD,NA,70,INDUSTRY,INTERVENTIONAL
NCT03047954,NO,ALL,CHILD,PHASE3,179,INDUSTRY,INTERVENTIONAL
NCT01808157,NO,ALL,"CHILD, ADULT, OLDER_ADULT",PHASE2,188,INDUSTRY,INTERVENTIONAL
NCT03549416,NO,ALL,"CHILD, ADULT, OLDER_ADULT",NA,1200,OTHER,OBSERVATIONAL
NCT02532920,NO,ALL,CHILD,NA,102,OTHER,OBSERVATIONAL
NCT06224348,NO,ALL,"CHILD, ADULT, OLDER_ADULT",PHASE3,496,INDUSTRY,INTERVENTIONAL
NCT01992172,YES,ALL,"ADULT, OLDER_ADULT",NA,7,INDUSTRY,INTERVENTIONAL
NCT03747575,YES,ALL,"ADULT, OLDER_ADULT",PHASE2,65,INDUSTRY,INTERVENTIONAL
NCT02908698,NO,ALL,"ADULT, OLDER_ADULT",NA,16,OTHER,INTERVENTIONAL
NCT02519556,NO,ALL,"CHILD, ADULT",PHASE4,60,OTHER,INTERVENTIONAL
NCT04011215,NO,ALL,CHILD,NA,50,OTHER,INTERVENTIONAL
NCT01232543,NO,ALL,CHILD,PHASE2,114,INDUSTRY,INTERVENTIONAL
NCT06465732,NO,ALL,ADULT,PHASE4,220,OTHER,INTERVENTIONAL
NCT06130566,NO,ALL,"CHILD, ADULT, OLDER_ADULT",PHASE3,420,INDUSTRY,INTERVENTIONAL
NCT00809172,NO,ALL,"ADULT, OLDER_ADULT",PHASE3,100,OTHER,INTERVENTIONAL
NCT03431610,NO,ALL,"ADULT, OLDER_ADULT",PHASE1,48,INDUSTRY,INTERVENTIONAL
NCT06181435,NO,ALL,"CHILD, ADULT, OLDER_ADULT",PHASE3,420,INDUSTRY,INTERVENTIONAL
NCT03059693,NO,ALL,"CHILD, ADULT, OLDER_ADULT","PHASE1,PHASE2",48,INDUSTRY,INTERVENTIONAL
NCT02914548,YES,ALL,"CHILD, ADULT, OLDER_ADULT",PHASE2,200,INDUSTRY,INTERVENTIONAL
NCT03556592,NO,ALL,"ADULT, OLDER_ADULT",PHASE1,40,INDUSTRY,INTERVENTIONAL
NCT02073591,NO,ALL,CHILD,NA,58,INDUSTRY,OBSERVATIONAL
NCT04271007,NO,ALL,"CHILD, ADULT",PHASE4,32,INDUSTRY,INTERVENTIONAL
NCT00533195,NO,ALL,"ADULT, OLDER_ADULT",PHASE3,20,OTHER,INTERVENTIONAL
NCT01385527,NO,ALL,CHILD,NA,0,OTHER,INTERVENTIONAL
NCT06407934,NO,ALL,"CHILD, ADULT, OLDER_ADULT",PHASE3,961,INDUSTRY,INTERVENTIONAL
NCT01936194,NO,FEMALE,"CHILD, ADULT, OLDER_ADULT",NA,0,INDUSTRY,INTERVENTIONAL
NCT03738423,YES,ALL,"ADULT, OLDER_ADULT",PHASE2,129,INDUSTRY,INTERVENTIONAL
NCT06345404,NO,ALL,"ADULT, OLDER_ADULT",PHASE1,64,INDUSTRY,INTERVENTIONAL
NCT03514511,NO,ALL,ADULT,PHASE1,47,INDUSTRY,INTERVENTIONAL
NCT00932074,NO,ALL,ADULT,"PHASE1,PHASE2",58,INDUSTRY,INTERVENTIONAL
NCT00180141,NO,ALL,"ADULT, OLDER_ADULT",PHASE4,24,OTHER,INTERVENTIONAL
NCT03676036,NO,ALL,"ADULT, OLDER_ADULT",PHASE2,42,INDUSTRY,INTERVENTIONAL
NCT04684485,NO,ALL,"ADULT, OLDER_ADULT",PHASE2,238,INDUSTRY,INTERVENTIONAL
NCT01828879,NO,ALL,"ADULT, OLDER_ADULT",PHASE4,74,INDUSTRY,INTERVENTIONAL
NCT03587805,NO,ALL,"CHILD, ADULT, OLDER_ADULT",PHASE3,1672,INDUSTRY,INTERVENTIONAL
NCT05989932,NO,ALL,"ADULT, OLDER_ADULT",NA,350,OTHER,OBSERVATIONAL
NCT00717769,YES,ALL,"ADULT, OLDER_ADULT",PHASE2,270,INDUSTRY,INTERVENTIONAL
NCT03363854,YES,ALL,"ADULT, OLDER_ADULT",PHASE3,380,INDUSTRY,INTERVENTIONAL
NCT03533751,YES,ALL,"ADULT, OLDER_ADULT",PHASE2,302,INDUSTRY,INTERVENTIONAL
NCT01782729,NO,ALL,CHILD,PHASE4,30,INDUSTRY,INTERVENTIONAL
NCT05226143,NO,ALL,"ADULT, OLDER_ADULT",NA,37,INDUSTRY,INTERVENTIONAL
NCT03571620,NO,ALL,"CHILD, ADULT, OLDER_ADULT",PHASE2,258,INDUSTRY,INTERVENTIONAL
NCT01301508,YES,ALL,"ADULT, OLDER_ADULT",PHASE2,46,INDUSTRY,INTERVENTIONAL
NCT02965118,NO,ALL,"CHILD, ADULT, OLDER_ADULT",PHASE3,240,INDUSTRY,INTERVENTIONAL
NCT03304470,NO,ALL,"ADULT, OLDER_ADULT",PHASE2,31,INDUSTRY,INTERVENTIONAL
